energy(MeV),y(mm),z(mm)
0.00001756,273904,326015
0.00001756,273909,326007
0.00029101,273898,326004
0.000522252,273898,326004
0.0190287,273898,326004
0.00258533,273909,326007
0.0583485,273909,326007
0.000723137,273904,326015
0.00938616,273904,326015
0.00001361,118247,-322225
0.00816223,118247,-322225
0.0157032,118247,-322225
0.0175012,118247,-322225
0.0139495,118247,-322225
0.0192508,118247,-322225
0.0159264,118247,-322225
0.0187576,118247,-322225
5.40E-05,276364,329228
3.36E-05,276364,329228
0.000048707,276364,329228
3.16E-05,276364,329228
0.000165384,276364,329228
7.76E-06,276364,329228
0.000467196,276364,329228
0.000152733,276364,329228
0.00163872,276364,329228
0.00141779,276364,329228
0.00468679,276364,329228
0.0106525,276364,329228
0.0115362,276364,329228
0.0135585,276364,329228
0.0294644,276364,329228
0.0588298,276364,329229
0.123091,276364,329229
0.13385,276364,329230
0.26782,276364,329231
0.473542,276365,329233
0.738257,276366,329236
0.700275,276367,329239
0.268631,276367,329240
0.0684787,276367,329241
0.0228858,276367,329241
0.00922267,276367,329241
0.0015585,276367,329241
0.00159127,276367,329241
0.000168145,276367,329241
0.000171673,276367,329241
3.28E-05,276367,329241
0.000115205,276367,329241
1.25E-05,276367,329241
0.00029101,276375,329262
0.000736519,276375,329262
0.0197171,276375,329262
0.0240514,276375,329262
0.00125499,276375,329262
0.00001756,-80535.2,30025.7
0.0022485,-80535.2,30025.7
0.00184964,-80535.2,30025.7
0.00457213,-80535.2,30025.8
0.00255113,-80535.2,30025.8
0.00170142,-80535.2,30025.8
0.00299715,-80535.2,30025.8
0.00471478,-80535.2,30025.8
0.00649369,-80535.2,30025.8
0.00328568,-80535.2,30025.8
0.00713699,-80535.2,30025.8
0.00304805,-80535.2,30025.8
0.00447862,-80535.2,30025.8
0.00339508,-80535.3,30025.8
0.00347983,-80535.3,30025.9
0.00286033,-80535.3,30025.9
0.00318657,-80535.3,30025.9
0.00267889,-80535.3,30025.9
0.00203736,-80535.3,30025.9
0.00197874,-80535.3,30025.9
0.00286174,-80535.3,30025.9
0.00186362,-80535.3,30025.9
0.00251954,-80535.3,30025.9
0.00202007,-80535.3,30025.9
0.00204943,-80535.3,30025.9
0.00191005,-80535.3,30025.9
0.000766447,-80535.3,30025.9
0.0111462,-80535.3,30025.9
0.0174379,-80535.3,30025.9
0.0189489,-80535.3,30025.9
0.00436345,-80535.3,30025.9
0.00000899,136144,-156541
0.00200768,136144,-156541
0.013624,136144,-156541
0.00001361,-659935,-390624
0.000224989,-659935,-390624
0.0102741,-659935,-390624
0.00001361,-248802,-14648.1
0.00001361,-248725,-14628.9
0.00000899,-248482,-14446.5
0.00377858,-248482,-14446.5
0.0166795,-248482,-14446.5
0.0165085,-248481,-14446.5
0.0360391,-248481,-14446.5
0.0115939,-248481,-14446.5
0.0472978,-248481,-14446.5
0.0192856,-248481,-14446.5
0.000692801,-248725,-14628.9
0.0187037,-248725,-14628.9
0.013678,-248725,-14628.9
0.00206233,-248802,-14648.1
0.0176959,-248802,-14648.1
0.0198566,-248802,-14648.1
0.00029101,-251077,-13376.4
0.000226296,-251077,-13376.4
0.00776914,-251077,-13376.4
5.39E-05,-102112,-127754
0.000200306,-102112,-127754
0.000497853,-102112,-127754
0.000777025,-102112,-127754
0.00352851,-102112,-127754
0.00619583,-102112,-127754
0.0133605,-102112,-127754
0.0107119,-102112,-127754
0.0331854,-102112,-127754
0.0270799,-102112,-127754
0.138595,-102112,-127754
0.174804,-102112,-127755
0.296587,-102112,-127756
0.463441,-102111,-127757
0.407966,-102110,-127759
0.370209,-102109,-127760
0.324331,-102109,-127762
0.179949,-102109,-127762
0.0127106,-102109,-127762
0.000757676,-102109,-127762
8.32E-06,-102109,-127762
0.00001361,-102161,-127692
0.0121279,-102161,-127692
0.0438611,-102161,-127692
0.0334717,-102161,-127692
0.0336387,-102161,-127692
0.0294848,-102161,-127692
0.0241767,-102161,-127692
0.0158315,-102161,-127692
0.0135684,-102161,-127692
0.0194535,-102161,-127692
0.0185344,-102161,-127692
0.0261145,-102161,-127692
0.0139472,-102161,-127692
0.0116276,-102161,-127692
0.0183051,-102161,-127692
0.0202799,-102161,-127692
0.00001756,-337865,-240876
0.00493751,-337865,-240876
0.0152247,-337865,-240876
0.0140608,-337865,-240876
0.0161973,-337865,-240876
0.0167361,-337865,-240876
0.0105575,-337865,-240876
0.00029101,-281296,-70957.4
0.00000899,-283518,-84199.5
0.00254834,-283518,-84199.5
0.0220796,-283518,-84199.5
0.00649632,-283518,-84199.5
0.00545214,-281296,-70957.4
0.018601,-281296,-70957.3
0.0225335,-281296,-70957.3
0.013903,-281296,-70957.3
0.0190864,-281296,-70957.2
0.0113287,-281296,-70957.2
0.0175542,-281296,-70957.2
0.0222224,-281296,-70957.2
0.00001361,-26400.5,796902
0.00001361,-26346.4,796936
0.00393194,-26346.4,796936
0.0181111,-26346.4,796936
0.0134488,-26346.4,796936
0.0139472,-26346.4,796936
0.0260776,-26346.4,796936
0.0150289,-26346.4,796936
0.0186794,-26346.4,796936
0.00987092,-26346.4,796936
0.00688441,-26400.5,796902
0.0230278,-26400.5,796902
0.0294035,-26400.5,796902
0.0390412,-26400.6,796902
0.0273127,-26400.6,796902
0.0154948,-26400.7,796902
0.016489,-26400.7,796902
0.016908,-26400.7,796902
0.0178695,-26400.7,796902
0.0168489,-26400.7,796902
0.0179933,-26400.7,796902
0.00814145,-26400.7,796902
0.00000899,-90174,553947
0.0013015,-90174,553947
0.0195785,-90174,553947
